ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Cluster
GOBP_TOR_SIGNALING	GOBP_TOR_SIGNALING	6/40	111/16462	2.61221679889874e-07	0.000210022230631459	0.000144909289791541	MTOR/RRAGA/AKT3/RRAGC/RPTOR/ENDOG	6	0
GOMF_NUCLEOCYTOPLASMIC_CARRIER_ACTIVITY	GOMF_NUCLEOCYTOPLASMIC_CARRIER_ACTIVITY	4/40	28/16462	5.86558214547037e-07	0.000235796402247909	0.000162692725824362	XPO7/TMCO6/XPO5/XPO4	4	0
GOMF_NUCLEAR_EXPORT_SIGNAL_RECEPTOR_ACTIVITY	GOMF_NUCLEAR_EXPORT_SIGNAL_RECEPTOR_ACTIVITY	3/40	10/16462	1.57612948285628e-06	0.000420934774067766	0.000290432869774434	XPO7/XPO5/XPO4	3	0
GOBP_REGULATION_OF_TOR_SIGNALING	GOBP_REGULATION_OF_TOR_SIGNALING	5/40	90/16462	2.47019292660486e-06	0.000420934774067766	0.000290432869774434	RRAGA/AKT3/RRAGC/RPTOR/ENDOG	5	0
GOBP_POSITIVE_REGULATION_OF_TOR_SIGNALING	GOBP_POSITIVE_REGULATION_OF_TOR_SIGNALING	4/40	42/16462	3.12890391163589e-06	0.000420934774067766	0.000290432869774434	RRAGA/AKT3/RRAGC/RPTOR	4	0
GOBP_NUCLEAR_TRANSPORT	GOBP_NUCLEAR_TRANSPORT	7/40	266/16462	3.1413042840878e-06	0.000420934774067766	0.000290432869774434	IWS1/XPO7/NUP153/TMCO6/IPO13/XPO5/XPO4	7	0
GOBP_TORC1_SIGNALING	GOBP_TORC1_SIGNALING	4/40	44/16462	3.78154120649419e-06	0.000434337018574476	0.000299680032454502	MTOR/RRAGA/RRAGC/RPTOR	4	0
GOCC_CCR4_NOT_COMPLEX	GOCC_CCR4_NOT_COMPLEX	3/40	14/16462	4.74878235804198e-06	0.000477252626983219	0.000329290566143174	CNOT2/CNOT3/CNOT10	3	0
GOMF_MOLECULAR_CARRIER_ACTIVITY	GOMF_MOLECULAR_CARRIER_ACTIVITY	4/40	62/16462	1.50578638498776e-05	0.00134516917058906	0.000928127982325788	XPO7/TMCO6/XPO5/XPO4	4	0
GOBP_CELLULAR_RESPONSE_TO_ACID_CHEMICAL	GOBP_CELLULAR_RESPONSE_TO_ACID_CHEMICAL	4/40	64/16462	1.70907628735928e-05	0.00137409733503686	0.000948087582566672	MTOR/RRAGA/RRAGC/RPTOR	4	0
GOBP_NUCLEAR_EXPORT	GOBP_NUCLEAR_EXPORT	5/40	140/16462	2.14467236041278e-05	0.00156756052524716	0.00108157161142348	IWS1/XPO7/NUP153/XPO5/XPO4	5	0
GOBP_PEPTIDYL_SERINE_MODIFICATION	GOBP_PEPTIDYL_SERINE_MODIFICATION	6/40	262/16462	3.74091421791956e-05	0.00250641252600611	0.00172935244986282	MTOR/AKT3/RPS6KA1/PLCL2/RPTOR/PDCD10	6	0
GOCC_CCR4_NOT_CORE_COMPLEX	GOCC_CCR4_NOT_CORE_COMPLEX	2/40	6/16462	8.58226485322511e-05	0.00492867210142356	0.00340064178770649	CNOT2/CNOT3	2	0
GOCC_TORC1_COMPLEX	GOCC_TORC1_COMPLEX	2/40	6/16462	8.58226485322511e-05	0.00492867210142356	0.00340064178770649	MTOR/RPTOR	2	0
