ID	dataset	subset	qvalue	Count	geneID	GeneRatio	BgRatio	pvalue	gs_subcat	gs_exact_source	modality
GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	NYGC_ALS_Cervical_SC	negative	3.85524399219691e-06	46	AVP/SHANK3/SHISA7/TPPP/DLGAP3/NPTX2/RIMS1/NLGN3/SHANK1/NTSR1/ZNF488/PRKCZ/WNT7A/SLC8A2/TNFRSF21/CUX2/HOMER1/OPRD1/MYRF/ITGA2/TMEM98/STX1B/ZFHX2/RNF10/RIMS2/DLGAP2/DVL1/DICER1/IGSF11/ATPSCKMT/GRIN2D/CBLN1/NPTX1/GRIN1/ADORA1/GPR35/DLG4/OPRK1/CNIH2/AKAP9/NPTXR/MGLL/SLC8A3/SOX10/MAG/TAFA4	46/3111	133/22688	8.50390452702897e-10	GO:BP	GO:0031644	RNAseq
GOCC_POSTSYNAPTIC_MEMBRANE	NYGC_ALS_Cervical_SC	negative	3.85524399219691e-06	74	DLG2/GRM3/ANK3/SHANK3/SLITRK1/LHFPL4/IL1RAPL1/SHISA7/EPHB2/DLG1/KCTD8/GABRD/SHANK2/GRIP2/NLGN3/SHANK1/HIP1/SYNDIG1/CACNG2/CHRNA4/SLC6A1/CACNG7/FAIM2/SYNE1/CACNG8/CNTN2/KCNA1/DNM3/RGS7BP/GRID1/IQSEC3/GABRA6/ABHD17A/EFNB2/OPRD1/KCNC3/ABHD6/CHRNB2/LRFN3/CHRM4/KCNC1/ATP2B2/RNF10/GRM2/ABHD17B/GRIP1/GPHN/LRRC4B/GRIN2D/CBLN1/GRIN2B/GABBR1/SLC6A9/GRIN1/PRRT1/ADORA1/GABBR2/HTR3B/LRFN1/PTPRS/DLG4/CACNA1C/GABRA5/OPRK1/CNIH2/AKAP9/GRM7/CACNG3/TRPV1/GRID2/SEMA4C/DBNL/GRID2IP/SHC4	74/3111	267/22688	1.18493023080799e-09	GO:CC	GO:0045211	RNAseq
GOBP_COGNITION	NYGC_ALS_Cervical_SC	negative	3.85524399219691e-06	79	DBH/INSR/MECP2/SHANK3/SOBP/BRSK1/MGAT3/SHISA7/EPHB2/RASGRF1/TH/TTBK1/ATXN1L/BTBD9/NPTX2/SLC24A2/SHANK2/MAPK8IP2/GIT1/ATP8A1/TSC1/POMK/NLGN3/SHANK1/NTSR1/JPH3/CHRNA4/SLC6A1/PRKCZ/ATXN1/PLA2G6/SLC1A1/SLC8A2/LDLR/FZD9/PSEN1/SYNGAP1/CNTN2/CLDN5/CNTNAP2/CUX2/ABL1/B4GALT2/SHROOM4/RAPGEF3/CHRNB2/ST3GAL4/ABCA7/KAT2A/HRH3/CHD7/RCAN1/CPEB3/RTL4/DGCR2/SLC12A5/GLP1R/EHMT2/JPH4/GRIN2B/HTT/GRIN1/PRRT1/ADORA1/LINS1/UCN/CAMK2N1/NRXN2/CRHBP/DLG4/OXTR/FOXO6/GABRA5/OPRK1/PRKCG/TANC1/CLN8/SLC8A3/CHST10	79/3111	294/22688	1.59515757516858e-09	GO:BP	GO:0050890	RNAseq
GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	NYGC_ALS_Cervical_SC	negative	3.23702874309383e-05	44	KCNJ12/CACNA1B/KCNN1/CACNA1H/KCNQ2/HCN4/KCNK3/KCNJ2/CACNG2/KCNG4/HCN2/KCNK1/CACNA1I/CACNG7/TSPOAP1/CACNG8/KCNA1/KCNJ10/KCNJ9/KCNK9/CACNA1A/CACNA1G/KCNC3/KCNT1/NCS1/KCNC1/KCNB2/GRIN2D/GRIN2B/TMC2/GRIN1/KCNH3/KCNS3/CACNA1E/CACNB3/KCNG3/KCNH8/CACNA1C/KCNH7/KCNJ11/CACNA2D3/CACNG3/TRPV1/KCNH6	44/3111	136/22688	1.99517080363434e-08	GO:MF	GO:0022843	RNAseq
GOBP_DENDRITE_DEVELOPMENT	NYGC_ALS_Cervical_SC	negative	3.23702874309383e-05	63	HECW2/MECP2/SHANK3/KIDINS220/IL1RAPL1/EPHB2/SRCIN1/TAOK2/MAPK8IP2/SHANK1/DIP2A/LRP8/PHACTR1/WNT7A/NEURL1/CELSR2/TMEFF1/PSEN1/KIF1A/SEMA4D/RERE/SYNGAP1/DNM3/CDC20/COBL/PTPRD/CUX2/ABL1/GPR37/CDK5R1/MARK1/CHRNB2/CAMK2A/PARP6/IQSEC1/CPEB3/ANKRD27/PACSIN1/RBFOX2/GRIP1/DVL1/SLC12A5/FSTL4/FBXO31/BCL11A/TANC2/ANAPC2/HDAC6/RAPGEF2/SEZ6/PTPRS/LZTS1/DLG4/FOXO6/ALK/CUX1/C21orf91/SARM1/BTBD3/LRP4/DOCK10/DBNL/SDK1	63/3111	228/22688	2.23227156354467e-08	GO:BP	GO:0016358	RNAseq
GOBP_POSTSYNAPSE_ORGANIZATION	NYGC_ALS_Cervical_SC	negative	3.68294585544458e-05	48	PICK1/INSR/SHANK3/SEMA3F/LHFPL4/IL1RAPL1/SHISA7/EPHB2/DLG1/SRCIN1/IGF1R/SHANK2/NLGN3/SHANK1/DIP2A/LRP8/WNT7A/FZD9/KIF1A/SYNGAP1/NEFH/DNM3/NTNG2/PTPRD/CUX2/ABHD17A/HOMER1/CDK5R1/CTTN/SPTBN2/ABHD17B/DVL1/GPHN/NEFL/LRRC4B/CBLN1/GRIN2B/NPTX1/ARHGAP22/TANC2/HDAC6/NRXN2/DLG4/GRID2/TANC1/LRP4/DOCK10/DBNL	48/3111	157/22688	3.50628857546393e-08	GO:BP	GO:0099173	RNAseq
GOBP_LEARNING	NYGC_ALS_Cervical_SC	negative	3.68294585544458e-05	45	DBH/INSR/MECP2/SHANK3/BRSK1/EPHB2/TH/ATXN1L/NPTX2/SLC24A2/SHANK2/MAPK8IP2/GIT1/ATP8A1/TSC1/NLGN3/SHANK1/NTSR1/JPH3/SLC6A1/ATXN1/SLC1A1/SLC8A2/SYNGAP1/CNTN2/CLDN5/CNTNAP2/ABL1/B4GALT2/RAPGEF3/CHRNB2/ABCA7/SLC12A5/JPH4/HTT/GRIN1/UCN/NRXN2/DLG4/GABRA5/OPRK1/TANC1/CLN8/SLC8A3/CHST10	45/3111	143/22688	3.55568959621174e-08	GO:BP	GO:0007612	RNAseq
GOCC_DISTAL_AXON	NYGC_ALS_Cervical_SC	negative	9.45229872746484e-05	69	APBB2/KIF5C/NECTIN1/BRSK1/KLC1/BRSK2/UNC5C/APBB1/RASGRF1/TH/ADGRL1/CYTH2/ZFYVE27/DIXDC1/TAOK2/FXR2/LMTK2/SHANK2/GIT1/TSC1/NTSR1/UNC13A/EXOC7/MAPK8IP3/AUTS2/SLC1A1/SLC8A2/STMN4/PSEN1/TSPOAP1/KCNA1/PCDH9/COBL/CDK5R2/WHRN/ACAP3/CDH8/LRIG2/GDPD5/ERC2/OLFM1/ABL1/OPRD1/SHTN1/CDK5R1/CPLX1/BIN1/ITGA2/IGHMBP2/CTTN/KCNC1/PACSIN1/DVL1/NEFL/MYH14/PTCH1/KATNB1/GRIN1/GPRIN1/ADORA1/UCN/PTPRS/CRHBP/OPRK1/FSCN1/PRKCG/TANC1/SLC8A3/PTPRN	69/3111	268/22688	1.04293656110239e-07	GO:CC	GO:0150034	RNAseq
GOMF_STRUCTURAL_CONSTITUENT_OF_SYNAPSE	NYGC_ALS_Cervical_SC	negative	0.00011032266022509	12	DLG1/SHANK2/BSN/NEFH/DNM3/ERC1/PCLO/ERC2/HOMER1/SPTBN2/NEFL/DLG4	12/3111	17/22688	1.36942326498914e-07	GO:MF	GO:0098918	RNAseq
GOMF_VOLTAGE_GATED_CHANNEL_ACTIVITY	NYGC_ALS_Cervical_SC	negative	0.000147079995539112	53	KCNJ12/CACNA1B/CLCN6/KCNK12/KCNN1/CACNA1H/KCNQ2/HCN4/KCNK3/KCNJ2/CACNG2/KCNG4/HCN2/KCNK1/CACNA1I/CACNG7/TSPOAP1/CACNG8/KCNA1/KCNJ10/KCNJ9/KCNK9/CACNA1A/SCN4A/CACNA1G/CLIC5/KCNC3/KCNT1/NCS1/KCNC1/CLCN4/ANO1/KCNB2/GRIN2D/GRIN2B/TMC2/GRIN1/KCNH3/KCNS3/CACNA1E/CACNB3/KCNG3/KCNH8/CACNA1C/KCNH7/SCN8A/SCN4B/NALCN/KCNJ11/CACNA2D3/CACNG3/TRPV1/KCNH6	53/3111	190/22688	2.02854233104176e-07	GO:MF	GO:0022832	RNAseq
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY	NYGC_ALS_Cervical_SC	negative	0.000153994714698221	51	PICK1/MECP2/SHANK3/BRSK1/MPP2/SHISA7/EPHB2/RASGRF1/SLC24A2/RIMS1/SHANK2/JPH3/PPFIA3/PRKCZ/ADGRB1/NEURL1/SLC1A1/SLC8A2/PSEN1/SYNGAP1/RASGRF2/CNTN2/CDC20/ERC1/KCNJ10/SYT7/ERC2/ABL1/SYNGR1/ABHD6/CAMK2A/KAT2A/CPEB3/RIMS2/IGSF11/JPH4/GRIN2D/CBLN1/GRIN2B/GRIN1/PRRT1/ADORA1/SYT12/ANAPC2/RAPGEF2/LZTS1/DLG4/PRKCG/GRID2/SLC8A3/GRID2IP	51/3111	181/22688	2.42610382448549e-07	GO:BP	GO:0048167	RNAseq
GOCC_NEURON_SPINE	NYGC_ALS_Cervical_SC	negative	0.000153994714698221	49	GRM3/SHANK3/MPP2/SHISA7/EPHB2/FXR2/SHANK2/ACTN2/SHANK1/CTTNBP2/NTSR1/KCNJ2/DIP2A/SYNDIG1/HIP1R/ADGRB1/NEURL1/SLC1A1/SLC8A2/ANKS1B/APBA2/DNM3/RGS7BP/ABHD17A/APBA1/HOMER1/OPRD1/KCNC3/CDK5R1/CAMK2A/STRN4/PPP1R9A/CTTN/ATP2B2/ABHD17B/DVL1/GABBR1/GRIN1/ADORA1/TANC2/PTK2/SEZ6/LZTS1/DLG4/CNIH2/TRPV1/GRID2/SLC8A3/DOCK10	49/3111	172/22688	2.8791378611933e-07	GO:CC	GO:0044309	RNAseq
GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	NYGC_ALS_Cervical_SC	negative	0.000153994714698221	24	SHANK3/SHISA7/EPHB2/RASGRF1/DLGAP3/NPTX2/MAPK8IP2/NLGN3/SHANK1/CACNG2/CACNG7/CACNG8/RASGRF2/HOMER1/DLGAP2/NPTX1/SLC6A9/PRRT1/CRHBP/DLG4/CNIH2/AKAP9/NPTXR/CACNG3	24/3111	59/22688	2.95895208659446e-07	GO:BP	GO:0099601	RNAseq
GOBP_CELLULAR_COMPONENT_MAINTENANCE	NYGC_ALS_Cervical_SC	negative	0.000153994714698221	25	PICK1/INSR/MTSS1/DLG1/IGF1R/SHANK2/CAMSAP3/BSN/KIFC3/SYNGAP1/DCTN1/ERC1/PCLO/WHRN/PARD6A/ERC2/HOMER1/CTTN/ABHD17B/TPRN/CBLN1/GRIN2B/DLG4/PRTN3/TANC1	25/3111	63/22688	2.9734751821811e-07	GO:BP	GO:0043954	RNAseq
GOCC_EXOCYTIC_VESICLE	NYGC_ALS_Cervical_SC	negative	0.000189253885918708	57	PICK1/KIRREL3/RAB40B/BRSK1/KIF1B/SEPTIN8/TH/SYT3/BACE1/ROGDI/PHAF1/CTTNBP2/UNC13A/VTI1A/SYNDIG1/BSN/LGI3/DNAJC5/ZNRF1/PSEN1/APBA2/ICA1/KCNK9/SYT7/APBA1/SYNGR1/OPRD1/SYN3/SEPTIN5/SCAMP5/BIN1/SLC6A17/BORCS5/IQSEC1/CLCN4/STX1B/RAB15/SEPTIN4/RAB40C/GABBR1/CDK16/SLC6A9/GRIN1/PRRT1/SYT12/VAMP1/SYT5/SYNGR3/RAB5B/RAB3D/PTPRS/DLG4/OPRK1/SEMA4C/PTPRN/SV2A/SYPL2	57/3111	214/22688	3.91531340641927e-07	GO:CC	GO:0070382	RNAseq
GOBP_OLIGODENDROCYTE_DEVELOPMENT	NYGC_ALS_Cervical_SC	negative	0.000203551489149454	19	TPPP/ZNF488/ABCA2/NKX2-2/ASPA/CNTN2/KCNJ10/FA2H/HES5/NKX6-2/MYRF/HDAC11/PRDM8/SHH/EIF2B5/SOX10/MAG/ERCC2/OLIG1	19/3111	41/22688	4.49184470829225e-07	GO:BP	GO:0014003	RNAseq
