gene_name	ensgene	log2FC_prot	AveExpr_prot	tstat_prot	pval_prot	padj_prot	B_prot	log2FC_rna	baseMean_rna	lfcSE_rna	stat_rna	pval_rna	padj_rna	log2fc_concordance	rna_DE_status	protein_DE_status	gene_DS_status	highest_magn_IncLevelDifference_rmats	sign_splice_event_rmats	highest_magn_deltaPSI_majiq	sign_splice_event_majiq	has_cryptic_splicing	tdp43_interactor	tdp43_clip_target	Fig1_plot_group
KALRN	ENSG00000160145	-1.6434627699466	15.6976976406859	-19.9809433381769	6.569056862099169e-11	8.6323282712418e-08	15.3655573444939	-0.185881889145334	10559.1541241813	0.0569344122603146	-3.2648425050117	1.0952495729492999E-3	7.0901862141595998E-3	concordant	Gene DE	Protein DE	DS	-0.591	TRUE	0.494608965626625	TRUE	TRUE	FALSE	TRUE	DEP + DS
SYT7	ENSG00000011347	-1.35065339281048	15.9568404894921	-19.6780952468295	7.916992291572919e-11	8.6323282712418e-08	15.1967789560594	0.0287909769819438	8725.28661585548	0.0465670153203841	0.618269751322045	0.53639753782224397	0.72022450245528202	discordant	Gene not DE	Protein DE	DS	-0.467	TRUE	0.61315395836918	TRUE	TRUE	FALSE	TRUE	DEP + DS
HDAC6	ENSG00000094631	-1.28269275760901	16.0720520668874	-19.5575108077068	8.53418514210756e-11	8.6323282712418e-08	15.1286735248559	-0.442618689300187	6943.5061375005	0.0450720447862584	-9.82024870181024	9.21160052211538e-23	8.35507435202034e-21	concordant	Gene DE	Protein DE	DS	0.172	TRUE	-0.141012435871209	FALSE	TRUE	TRUE	FALSE	DEP + DS
TARDBP	ENSG00000120948	-1.05162571290809	18.0884612200173	-17.1829925570279	4.11832999949404e-10	3.22179293736904e-07	13.6734456807485	-1.47557918440716	3843.41246488647	0.0535496731750471	-27.5553350173339	3.81967886750742e-167	1.04512779946449e-163	concordant	Gene DE	Protein DE	No DS	-0.2	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
SLC17A6	ENSG00000091664	-0.7504353972781	17.075727589521	-16.8324783186105	5.28422657804417e-10	3.22179293736904e-07	13.4385458890249	-0.0814565421413944	11127.1489249731	0.0465336882841752	-1.75048540412163	8.0034590563256403E-2	0.208559979885235	concordant	Gene not DE	Protein DE	DS	-0.144	TRUE	NA	NA	FALSE	FALSE	FALSE	DEP + DS
ACTL6B	ENSG00000077080	-1.70169803821691	15.0412087718029	-16.7582637034375	5.574036223821871e-10	3.22179293736904e-07	13.3880871726884	-0.543635480888077	4399.54880374369	0.0485911442712556	-11.1879538759837	4.67087874523347e-29	6.18401744842725e-27	concordant	Gene DE	Protein DE	DS	-0.497	TRUE	0.426199182310313	TRUE	TRUE	FALSE	TRUE	DEP + DS
ATP8A1	ENSG00000124406	-1.18238619299749	15.8079182857942	-16.2858473327147	7.87095957056528e-10	3.98073780281339e-07	13.0607882939751	-0.266566305418082	14684.0556086453	0.0557443550898399	-4.78194258393468	1.7360927137437e-06	2.50672243461128e-05	concordant	Gene DE	Protein DE	No DS	0.333	FALSE	-0.115502546150357	FALSE	FALSE	FALSE	TRUE	DEP + DEG, no DS
STMN2	ENSG00000104435	-1.30933815780761	16.6431486637947	-15.7081319892071	1.21560769577663e-09	5.46483193012474e-07	12.6456538582725	-1.53715934486926	96940.6277002829	0.0452655977133221	-33.9586666811396	9.085742332232481e-253	4.97202106227535e-249	concordant	Gene DE	Protein DE	DS	0.778	FALSE	0.481996309551116	TRUE	TRUE	FALSE	TRUE	DEP + DS
CRABP1	ENSG00000166426	1.11939020084303	18.4625119702171	15.4865127051877	1.44174734492402e-09	5.83330975756259e-07	12.4818674391847	1.32402972448026	17595.4907756817	0.0417564046828643	31.7084225650203	1.18925116899714e-220	4.880984110356498e-217	concordant	Gene DE	Protein DE	No DS	0.001	FALSE	NA	NA	FALSE	FALSE	TRUE	DEP + DEG, no DS
CADPS	ENSG00000163618	-0.942956680319412	17.7615573053653	-14.5869562488305	2.95016158334032e-09	1.06290037863831e-06	11.7896748172989	-0.90557102904776	10777.0154735751	0.0402456644957054	-22.5010827972387	4.0505255847261004e-112	6.64974785244484e-109	concordant	Gene DE	Protein DE	DS	-0.536	TRUE	NA	NA	FALSE	FALSE	TRUE	DEP + DS
SYT5	ENSG00000129990	-0.828384974850545	15.1052211521886	-14.5060631550553	3.1524479840978e-09	1.06290037863831e-06	11.72518330447	-0.175851700278451	8460.06573275973	0.0438320173044057	-4.01194631443019	6.02201966487572e-05	5.9235168866539996E-4	concordant	Gene DE	Protein DE	No DS	0.25	FALSE	NA	NA	FALSE	FALSE	FALSE	DEP + DEG, no DS
TMEM30A	ENSG00000112697	-0.765472789686843	17.1173875066055	-14.0017746141012	4.80291602249163e-09	1.49481524823086e-06	11.314333817913	0.0198335602710514	8086.06239846038	0.0617209632880595	0.321342364319326	0.74795095527621602	0.86411758147569595	discordant	Gene not DE	Protein DE	No DS	0.004	FALSE	NA	NA	FALSE	FALSE	FALSE	DEP only
DNM3	ENSG00000197959	-0.585690402627169	16.9596943713805	-13.6715672395421	6.37437194872176e-09	1.84219349318059e-06	11.0368062683246	-0.229986975893543	7414.04193558241	0.0544127751579434	-4.2267091730933	2.37133833588324e-05	2.5884482353850003E-4	concordant	Gene DE	Protein DE	No DS	0.035	FALSE	NA	NA	FALSE	FALSE	FALSE	DEP + DEG, no DS
NAT14	ENSG00000090971	1.18060297919109	15.692231444681	13.3231287889643	8.65032547422314e-09	2.30127398774204e-06	10.736334573252	0.304780107793764	3257.02627311743	0.0582312791328372	5.23395866160693	1.65917574854391e-07	3.01312923272626e-06	concordant	Gene DE	Protein DE	No DS	NA	NA	NA	NA	FALSE	FALSE	FALSE	DEP + DEG, no DS
