gene_name	ensgene	prize	type	direction	terminal	degree	betweenness	robustness	specificity	leiden_clusters	meta_cluster	source	location	general_process	specific_process	general_function	specific_function	log2FC_prot	log2FC_rna	gene_DS_status	Fig1_plot_group
CORO7-PAM16	NA	0.376144500023094	protein	neg	TRUE	1	0	1	0.07	11	Synaptic/ neuron	protein	NA	NA	NA	NA	NA	-0.90827669441844	NA	DS	NA
KALRN	ENSG00000160145	0.723954008242319	protein	neg	TRUE	8	1.7525599234449001E-3	1	0.07	8	Synaptic/ neuron	protein	extracellular	biological regulation	regulation of biological process	molecular function regulator	guanyl-nucleotide exchange factor	-1.6434627699466	-0.185881889145334	DS	DEP + DS
SYT7	ENSG00000011347	0.585428689477912	protein	neg	TRUE	1	0	1	0.03	4	Synaptic/ neuron	protein	extracellular	biological regulation	regulation of biological process	binding	ion binding	-1.35065339281048	0.0287909769819438	DS	DEP + DS
HDAC6	ENSG00000094631	0.553277162273444	protein	neg	TRUE	26	2.01632640963294E-2	1	0.05	9	Synaptic/ neuron	protein	nucleus	biological regulation	regulation of biological process	binding	protein binding	-1.28269275760901	-0.442618689300187	DS	DEP + DS
TARDBP	ENSG00000120948	1	protein	neg	TRUE	66	7.96611600723795E-2	1	0.08	1	Nuclear/RBP/TF	protein	nucleus	biological regulation	regulation of biological process	binding	organic cyclic compound binding	-1.05162571290809	-1.47557918440716	No DS	DEP + DEG, no DS
SLC17A6	ENSG00000091664	0.301471290392964	protein	neg	TRUE	1	0	1	0.06	12	Autophagy	protein	vesicle	localization	establishment of localization	transporter	transmembrane transporter	-0.7504353972781	-0.0814565421413944	DS	DEP + DS
ACTL6B	ENSG00000077080	0.751504557269734	protein	neg	TRUE	3	4.4655485237889999E-4	1	0.03	10	Autophagy	protein	nucleus	cellular process	cellular component organization	structural molecule	structural constituent of cytoskeleton	-1.70169803821691	-0.543635480888077	DS	DEP + DS
ATP8A1	ENSG00000124406	0.505823084904488	protein	neg	TRUE	2	2.20981424931E-4	1	0.03	13	Metabolism	protein	lysosome	localization	establishment of localization	catalytic	hydrolase	-1.18238619299749	-0.266566305418082	No DS	DEP + DEG, no DS
STMN2	ENSG00000104435	0.56588284653198	protein	neg	TRUE	8	5.7207939004035998E-3	1	0.09	5	Synaptic/ neuron	protein	plasma_membrane	biological regulation	regulation of biological process	binding	protein binding	-1.30933815780761	-1.53715934486926	DS	DEP + DS
CRABP1	ENSG00000166426	0.47602028289238	protein	pos	TRUE	2	2.2120695262259999E-4	1	0.1	4	Synaptic/ neuron	protein	cytoplasm	cellular process	cell communication	binding	lipid binding	1.11939020084303	1.32402972448026	No DS	DEP + DEG, no DS
CADPS	ENSG00000163618	0.3925512700134	protein	neg	TRUE	2	2.8825762489159999E-4	1	0.06	4	Synaptic/ neuron	protein	vesicle	cellular process	secretion by cell	binding	protein binding	-0.942956680319412	-0.90557102904776	DS	DEP + DS
SYT5	ENSG00000129990	0.33834849079681	protein	neg	TRUE	3	0	1	0.03	4	Synaptic/ neuron	protein	vesicle	cellular process	cell communication	binding	ion binding	-0.828384974850545	-0.175851700278451	No DS	DEP + DEG, no DS
TMEM30A	ENSG00000112697	0.30858533707132	protein	neg	TRUE	5	3.0866399880451999E-3	1	0.04	8	Synaptic/ neuron	protein	lysosome	localization	establishment of localization	transporter	lipid transporter	-0.765472789686843	0.0198335602710514	No DS	DEP, no DEG, no DS
DNM3	ENSG00000197959	0.223532007429866	protein	neg	TRUE	2	0	1	0.13	9	Synaptic/ neuron	protein	extracellular	cellular process	cellular component organization	binding	protein binding	-0.585690402627169	-0.229986975893543	No DS	DEP + DEG, no DS
NAT14	ENSG00000090971	0.504979463489858	protein	pos	TRUE	3	4.2368673142580002E-4	1	0.07	8	Synaptic/ neuron	protein	nucleus	metabolic process	nitrogen compound metabolic process	catalytic	transferase	1.18060297919109	0.304780107793764	No DS	DEP + DEG, no DS
MADD	ENSG00000110514	1	protein	neg	TRUE	2	8.184566407519489e-05	1	0.04	11	Synaptic/ neuron	protein	cytoplasm	biological regulation	regulation of biological process	binding	protein binding	-2.22695794345316	-0.768455759884671	DS	DEP + DS
CAMK2B	ENSG00000058404	0.391953748688069	protein	neg	TRUE	15	1.0769018337851301E-2	1	0.03	9	Synaptic/ neuron	protein	vesicle	biological regulation	regulation of biological process	binding	protein binding	-0.941693663214263	-0.672047858359856	DS	DEP + DS
HMGCS1	ENSG00000112972	0.221748550807701	protein	neg	TRUE	2	6.864330062647205e-05	1	0.08	12	Autophagy	protein	cytoplasm	metabolic process	primary metabolic process	catalytic	transferase	-0.58192060207848	-0.0839510614169936	No DS	DEP, no DEG, no DS
USP24	ENSG00000162402	0.407772567302251	protein	neg	TRUE	4	6.7921146615220005E-4	1	0.02	0	Nuclear/RBP/TF	protein	nucleus	cellular process	movement of cell or subcellular component	catalytic	hydrolase	-0.975130860592783	-0.410925621426887	No DS	DEP + DEG, no DS
ACTL6A	ENSG00000136518	0.363660311428684	protein	pos	TRUE	12	3.5875645810676E-3	1	0.11	3	Nuclear/RBP/TF	protein	protein complex	cellular process	cellular component organization	binding	organic cyclic compound binding	0.881888106981974	0.200359433548475	No DS	DEP + DEG, no DS
RAB3C	ENSG00000152932	0.49915232176572	protein	neg	TRUE	3	5.76773779744075e-05	1	0.05	11	Synaptic/ neuron	protein	cytoplasm	localization	macromolecule localization	binding	protein binding	-1.16828579592129	-0.568053079197223	No DS	DEP + DEG, no DS
PPM1H	ENSG00000111110	0.442723552142965	protein	neg	TRUE	6	4.570356457385E-4	1	0.04	8	Synaptic/ neuron	protein	nucleus	metabolic process	nitrogen compound metabolic process	catalytic	hydrolase	-1.0490088793751	-0.650486685629951	No DS	DEP + DEG, no DS
KIF21A	ENSG00000139116	0.235377085859465	protein	neg	TRUE	4	2.5927126504886999E-3	1	0.05	9	Synaptic/ neuron	protein	cytoskeleton	cellular process	movement of cell or subcellular component	binding	protein binding	-0.610728064103323	-0.195087158991881	DS	DEP + DS
PTPN9	ENSG00000169410	0.284594542377509	protein	neg	TRUE	7	5.2966981999907998E-3	1	0.08	6	Metabolism	protein	cytoplasm	cellular process	cellular developmental process	catalytic	hydrolase	-0.71476199028964	-0.407560793503077	No DS	DEP + DEG, no DS
ASMTL	NA	0.271513467153941	protein	neg	TRUE	2	8.2781382941349995E-4	1	0.07	9	Synaptic/ neuron	protein	cytoplasm	metabolic process	methylation	binding	protein binding	-0.687111727343861	NA	No DS	NA
EPB41L1	ENSG00000088367	0.230768529907589	protein	neg	TRUE	10	3.4890532690515E-3	1	0.04	4	Synaptic/ neuron	protein	cytoskeleton	cellular process	cellular component organization	binding	protein binding	-0.600986679569417	-0.376247496470661	DS	DEP + DS
SYT1	ENSG00000067715	0.221850964310729	protein	neg	TRUE	9	5.6879789223218003E-3	1	0.03	4	Synaptic/ neuron	protein	vesicle	cellular process	cell communication	binding	protein binding	-0.582137079718088	0.34141715878737	No DS	DEP + DEG, no DS
ELAVL3	ENSG00000196361	0.153762345472233	protein	neg	TRUE	4	1.9418757225729999E-4	1	0.04	1	Nuclear/RBP/TF	protein	NA	developmental process	anatomical structure development	binding	organic cyclic compound binding	-0.438214031931668	-1.11041189310647	DS	DEP + DS
GABARAP	ENSG00000170296	0.406338966717871	protein	neg	TRUE	12	1.0176297498474001E-2	1	0.19	12	Autophagy	protein	cytoskeleton	cellular process	process utilizing autophagic mechanism	binding	protein binding	-0.972100571993424	0.0888784377509637	No DS	DEP, no DEG, no DS
SV2A	ENSG00000159164	0.14998379726345	protein	neg	TRUE	2	6.368112864618052e-05	1	0.03	11	Synaptic/ neuron	protein	vesicle	cellular process	cell communication	transporter	transmembrane transporter	-0.430227085160052	-0.0837204562125519	No DS	DEP, no DEG, no DS
FH	ENSG00000091483	0.282518902472793	protein	neg	TRUE	10	8.1524398025931005E-3	1	0.12	7	Metabolism	protein	mitochondria	metabolic process	cellular metabolic process	catalytic	lyase	-0.710374584196085	-0.363969570559533	No DS	DEP + DEG, no DS
RALY	ENSG00000125970	0.208093186189033	protein	neg	TRUE	23	8.7506700813402005E-3	1	0.06	1	Nuclear/RBP/TF	protein	nucleus	metabolic process	nitrogen compound metabolic process	binding	protein binding	-0.553056428769057	-0.467739062605787	No DS	DEP + DEG, no DS
ATG4B	ENSG00000168397	0.506188123941767	protein	neg	TRUE	3	7.235190059092823e-06	1	0.13	12	Autophagy	protein	cytoplasm	metabolic process	cellular metabolic process	catalytic	hydrolase	-1.18315779817472	-0.638761400580834	DS	DEP + DS
PREX1	ENSG00000124126	0.294112294014792	protein	pos	TRUE	7	1.1749263528128E-3	1	0.06	0	Nuclear/RBP/TF	protein	cytoplasm	biological regulation	regulation of biological process	binding	protein binding	0.734880239816205	-0.0942695779647585	No DS	DEP, no DEG, no DS
MICAL1	ENSG00000135596	0.458400740134537	protein	neg	TRUE	3	1.3094422633210001E-4	1	0.07	8	Synaptic/ neuron	protein	cytoskeleton	cellular process	cellular component organization	binding	protein binding	-1.0821467035072	0.0607106121592953	DS	DEP + DS
FASN	ENSG00000169710	0.151741387246774	protein	neg	TRUE	13	9.3174621497962001E-3	0.99	0.07	9	Synaptic/ neuron	protein	extracellular	cellular process	cellular developmental process	catalytic	transferase	-0.433942209823673	-0.0722423392814134	No DS	DEP, no DEG, no DS
SYN1	ENSG00000008056	0.191892120577947	protein	neg	TRUE	9	4.4021760735913004E-3	1	0.04	4	Synaptic/ neuron	protein	vesicle	biological regulation	regulation of biological quality	binding	protein binding	-0.51881125270423	-0.376496918342159	No DS	DEP + DEG, no DS
CRMP1	ENSG00000072832	0.143680928101678	protein	neg	TRUE	10	5.1301843305139004E-3	1	0.11	8	Synaptic/ neuron	protein	cytoskeleton	biological regulation	regulation of molecular function	binding	protein binding	-0.416904327920506	-0.286014679614993	No DS	DEP + DEG, no DS
RHOB	ENSG00000143878	0.24160460543321	protein	neg	TRUE	58	5.2846445707787598E-2	1	0.04	8	Synaptic/ neuron	protein	endosome	biological regulation	regulation of biological process	binding	small molecule binding	-0.623891550343643	-0.158455966075264	No DS	DEP + DEG, no DS
SLC25A1	ENSG00000100075	0.170332215960808	protein	neg	TRUE	13	5.0213146626222E-3	1	0.06	7	Metabolism	protein	mitochondria	metabolic process	biosynthetic process	transporter	transmembrane transporter	-0.473238773258828	-0.343339167951056	No DS	DEP + DEG, no DS
MYO5A	ENSG00000197535	0.14402945589824	protein	neg	TRUE	11	6.7741611839824004E-3	1	0.02	11	Synaptic/ neuron	protein	plasma_membrane	cellular process	movement of cell or subcellular component	binding	protein binding	-0.417641032285715	-0.196693924397329	No DS	DEP + DEG, no DS
RAB3B	ENSG00000169213	0.461446232347441	protein	neg	TRUE	18	1.25437926059197E-2	1	0.07	11	Synaptic/ neuron	protein	extracellular	biological regulation	regulation of biological process	binding	protein binding	-1.08858414531125	-0.45114851001932	No DS	DEP + DEG, no DS
MYO18A	ENSG00000196535	0.152872060563775	protein	neg	TRUE	11	3.1686196480717002E-3	1	0.09	8	Synaptic/ neuron	protein	golgi	cellular process	cellular component organization	binding	organic cyclic compound binding	-0.43633218266509	-0.243258023062552	DS	DEP + DS
PDE1C	ENSG00000154678	0.42026542878672	protein	neg	TRUE	5	1.8660810570979999E-4	1	0	2	Metabolism	protein	cytoplasm	cellular process	cell communication	catalytic	hydrolase	-1.00153778044356	-0.896390719595464	No DS	DEP + DEG, no DS
MYO6	ENSG00000196586	0.246472327806016	protein	pos	TRUE	21	1.07901492576697E-2	1	0.06	9	Synaptic/ neuron	protein	nucleus	biological regulation	regulation of biological process	binding	protein binding	0.634180750677315	0.453728221700429	No DS	DEP + DEG, no DS
RANBP1	ENSG00000099901	0.378472837928059	protein	neg	TRUE	3	2.605031626772085e-05	1	0.05	2	Metabolism	protein	nucleus	biological regulation	regulation of biological process	binding	protein binding	-0.913198243618227	-0.726231176302274	No DS	DEP + DEG, no DS
AARS	ENSG00000090861	0.209338461259812	protein	neg	TRUE	1	0	1	0.08	12	Autophagy	protein	extracellular	cellular process	cellular response to stimulus	catalytic	catalytic, acting on RNA	-0.555688642295728	0.0318602107630487	No DS	DEP, no DEG, no DS
CHID1	ENSG00000177830	0.649856295774085	protein	neg	TRUE	2	2.532834958332E-4	1	0.04	12	Autophagy	protein	lysosome	cellular process	secretion by cell	binding	protein binding	-1.48683793609991	-1.00084628270309	DS	DEP + DS
AGPAT4	ENSG00000026652	0.657575141753875	protein	neg	TRUE	5	3.316446149109E-4	1	0.13	6	Metabolism	protein	ER	metabolic process	cellular metabolic process	catalytic	transferase	-1.50315372951379	-0.241991074716774	DS	DEP + DS
SEZ6L	ENSG00000100095	0.291686528811992	protein	neg	TRUE	1	0	1	0.12	5	Synaptic/ neuron	protein	ER	multicellular organismal process	multicellular organism development	NA	NA	-0.729752752621474	-0.662515341064159	DS	DEP + DS
RAP1GAP	ENSG00000076864	0.46597553149603	protein	neg	TRUE	6	1.8470085299295E-3	1	0.04	2	Metabolism	protein	cytoplasm	biological regulation	regulation of biological process	binding	protein binding	-1.0981579999278	-0.582698941847015	No DS	DEP + DEG, no DS
APLP2	ENSG00000084234	0.26190771432221	protein	neg	TRUE	5	5.9495240243280002E-4	1	0.07	4	Synaptic/ neuron	protein	vesicle	cellular process	cell communication	binding	protein binding	-0.666807464349411	0.140313575481061	No DS	DEP + DEG, no DS
